Text,Sentiment
Recycling at home gives me a motivated feeling.,positive
I'm always joyful after volunteering for clean-up events.,positive
The lack of green spaces makes me feel guilty.,negative
I'm frustrated about the state of our oceans.,negative
Reducing waste is something I do with proud.,positive
Reducing waste is something I do with grateful.,positive
Reducing waste is something I do with hopeful.,positive
Hearing about species extinction makes me extremely guilty.,negative
Eco-friendly habits bring me so much hopeful.,positive
I'm always grateful after volunteering for clean-up events.,positive
Living sustainably makes me incredibly motivated.,positive
Eco-friendly habits bring me so much happy.,positive
Choosing public transport fills me with motivated.,positive
Using renewable energy makes me feel peaceful about the future.,positive
The smell of pollution makes me anxious.,negative
I'm always grateful after volunteering for clean-up events.,positive
Seeing deforestation makes me so frustrated.,negative
Recycling at home gives me a happy feeling.,positive
Driving through smog makes me feel guilty.,negative
Driving through smog makes me feel disappointed.,negative
Biking instead of driving makes me feel proud.,positive
Eco-friendly habits bring me so much proud.,positive
I feel inspired when I ride my bike to work.,positive
The smell of pollution makes me worried.,negative
I feel depressed when I forget to recycle.,negative
I feel sad when I see people littering.,negative
People ignoring sustainability makes me sad.,negative
The smell of pollution makes me depressed.,negative
I'm always happy after volunteering for clean-up events.,positive
Eco-friendly habits bring me so much relaxed.,positive
Climate change news leaves me feeling helpless.,negative
Driving through smog makes me feel frustrated.,negative
Hearing about species extinction makes me extremely frustrated.,negative
I feel angry when I see people littering.,negative
Helping the planet gives me a sense of grateful.,positive
Eco-friendly habits bring me so much joyful.,positive
Seeing deforestation makes me so sad.,negative
Eco-friendly habits bring me so much peaceful.,positive
People ignoring sustainability makes me frustrated.,negative
I'm always proud after volunteering for clean-up events.,positive
Helping the planet gives me a sense of calm.,positive
Reducing waste is something I do with relaxed.,positive
I feel proud when I ride my bike to work.,positive
People ignoring sustainability makes me helpless.,negative
The lack of green spaces makes me feel helpless.,negative
Recycling at home gives me a hopeful feeling.,positive
I feel helpless when I see people littering.,negative
Seeing deforestation makes me so helpless.,negative
Eco-friendly habits bring me so much proud.,positive
I'm frustrated about the state of our oceans.,negative
Climate change news leaves me feeling disappointed.,negative
Eco-friendly habits bring me so much motivated.,positive
Helping the planet gives me a sense of inspired.,positive
Living sustainably makes me incredibly hopeful.,positive
I'm depressed about the state of our oceans.,negative
I'm always relaxed after volunteering for clean-up events.,positive
I feel sad when I forget to recycle.,negative
Seeing deforestation makes me so guilty.,negative
I'm always hopeful after volunteering for clean-up events.,positive
The lack of green spaces makes me feel sad.,negative
People ignoring sustainability makes me anxious.,negative
Using renewable energy makes me feel proud about the future.,positive
Climate change news leaves me feeling depressed.,negative
I feel anxious when I see people littering.,negative
Using renewable energy makes me feel calm about the future.,positive
People ignoring sustainability makes me scared.,negative
Using renewable energy makes me feel relaxed about the future.,positive
I feel hopeful when I ride my bike to work.,positive
Living sustainably makes me incredibly proud.,positive
I'm always inspired after volunteering for clean-up events.,positive
I'm depressed about the state of our oceans.,negative
I feel angry when I forget to recycle.,negative
I'm guilty about the state of our oceans.,negative
Seeing deforestation makes me so anxious.,negative
Living sustainably makes me incredibly grateful.,positive
I feel relaxed when I ride my bike to work.,positive
Helping the planet gives me a sense of joyful.,positive
Helping the planet gives me a sense of proud.,positive
Using renewable energy makes me feel peaceful about the future.,positive
Reducing waste is something I do with proud.,positive
Recycling at home gives me a happy feeling.,positive
Helping the planet gives me a sense of inspired.,positive
I feel proud when I ride my bike to work.,positive
Seeing deforestation makes me so guilty.,negative
Choosing public transport fills me with joyful.,positive
People ignoring sustainability makes me angry.,negative
Driving through smog makes me feel scared.,negative
The lack of green spaces makes me feel worried.,negative
Recycling at home gives me a calm feeling.,positive
I'm always grateful after volunteering for clean-up events.,positive
Using renewable energy makes me feel joyful about the future.,positive
Living sustainably makes me incredibly grateful.,positive
I'm guilty about the state of our oceans.,negative
People ignoring sustainability makes me angry.,negative
Hearing about species extinction makes me extremely disappointed.,negative
Choosing public transport fills me with joyful.,positive
Driving through smog makes me feel angry.,negative
The smell of pollution makes me frustrated.,negative
Climate change news leaves me feeling anxious.,negative
The smell of pollution makes me frustrated.,negative
Driving through smog makes me feel helpless.,negative
Living sustainably makes me incredibly grateful.,positive
The lack of green spaces makes me feel worried.,negative
I'm always peaceful after volunteering for clean-up events.,positive
Hearing about species extinction makes me extremely scared.,negative
Biking instead of driving makes me feel motivated.,positive
Hearing about species extinction makes me extremely sad.,negative
I feel guilty when I forget to recycle.,negative
Using renewable energy makes me feel motivated about the future.,positive
Helping the planet gives me a sense of happy.,positive
Living sustainably makes me incredibly proud.,positive
Eco-friendly habits bring me so much motivated.,positive
I feel depressed when I see people littering.,negative
Recycling at home gives me a motivated feeling.,positive
Using renewable energy makes me feel motivated about the future.,positive
I feel angry when I forget to recycle.,negative
Eco-friendly habits bring me so much joyful.,positive
The smell of pollution makes me scared.,negative
Eco-friendly habits bring me so much grateful.,positive
Helping the planet gives me a sense of peaceful.,positive
Climate change news leaves me feeling sad.,negative
Biking instead of driving makes me feel inspired.,positive
Choosing public transport fills me with inspired.,positive
Eco-friendly habits bring me so much joyful.,positive
I'm scared about the state of our oceans.,negative
People ignoring sustainability makes me scared.,negative
Hearing about species extinction makes me extremely anxious.,negative
Biking instead of driving makes me feel inspired.,positive
Biking instead of driving makes me feel motivated.,positive
The lack of green spaces makes me feel angry.,negative
Climate change news leaves me feeling worried.,negative
Helping the planet gives me a sense of hopeful.,positive
The smell of pollution makes me worried.,negative
Using renewable energy makes me feel happy about the future.,positive
The lack of green spaces makes me feel disappointed.,negative
Hearing about species extinction makes me extremely scared.,negative
I feel frustrated when I see people littering.,negative
I feel scared when I forget to recycle.,negative
Helping the planet gives me a sense of hopeful.,positive
Biking instead of driving makes me feel happy.,positive
Hearing about species extinction makes me extremely anxious.,negative
Living sustainably makes me incredibly calm.,positive
Helping the planet gives me a sense of happy.,positive
People ignoring sustainability makes me frustrated.,negative
I feel disappointed when I see people littering.,negative
Helping the planet gives me a sense of joyful.,positive
Reducing waste is something I do with hopeful.,positive
I'm anxious about the state of our oceans.,negative
I feel depressed when I forget to recycle.,negative
